NO,PROVINSI,KOTA/KABUPATEN,ONGKIR / Juta (MEJA 9 FT)
,,Kota Tanjung Pinang,"4,5 - 5 JT"
8,Jambi,Kab. Bungo,"3,8 - 4 JT"
,,Kab. Kerinci,"3,8 - 4 JT"
,,Kab. Merangin,"3,8 - 4 JT"
,,Kab. Muaro Jambi,"3,5 - 4 JT"
,,Kab. Sarolangun,"3,5 - 4 JT"
,,Kab. Tanjung Jabung Barat,"3,8 - 4 JT"
,,Kab. Tanjung Jabung Timur,"3,8 - 4 JT"
,,Kab. Tebo,"3,8 - 4 JT"
,,Kota Jambi,"3,5 - 4 JT"
,,Kota Sungai Penuh,"3,5 - 4 JT"
9,Lampung,Kab. Lampung Barat,"3,8 - 4 JT"
,,Kab. Lampung Selatan,"3,8 - 4 JT"
,,Kab. Lampung Tengah,"3,8 - 4 JT"
,,Kab. Lampung Timur,"3,8 - 4 JT"
,,Kab. Lampung Utara,"3,8 - 4 JT"
,,Kab. Mesuji,"3,8 - 4 JT"
,,Kab. Pesawaran,"3,8 - 4 JT"
,,Kab. Pesisir Barat,"3,8 - 4 JT"
,,Kab. Pringsewu,"3,8 - 4 JT"
,,Kab. Tanggamus,"3,8 - 4 JT"
,,Kab. Tulang Bawang,"3,8 - 4 JT"
,,Kab. Tulang Bawang Barat,"3,8 - 4 JT"
,,Kab. Way Kanan,"3,8 - 4 JT"
,,Kota Bandar Lampung,"3,8 - 4 JT"
,,Kota Metro,"3,8 - 4,5 JT"
10,Bangka Belitung,Kab. Bangka,4 - 5 JT
,,Kab. Bangka Barat,4 - 5 JT
,,Kab. Bangka Selatan,4 - 5 JT
,,Kab. Bangka Tengah,4 - 5 JT
,,Kab. Belitung,4 - 5 JT
,,Kab. Belitung Timur,6 - 7 JT
,,Kota Pangkal Pinang,6 - 7 JT
11,Banten,Kab. Kepulauan Seribu,"3 - 4,5 JT"
,,Kab. Lebak,"2,5 - 3 JT"
,,Kab. Pandeglang,"2,5 - 3 JT"
,,Kab. Serang,"2,5 - 3 JT"
,,Kab. Tangerang,"2,5 - 3 JT"
,,Kota Cilegon,"2,5 - 3 JT"
,,Kota Serang,"2,5 - 3 JT"
,,Kota Tangerang,"2,5 - 3 JT"
,,Kota Tangerang Selatan,"2,5 - 3 JT"
12,DKI Jakarta,Kota Jakarta Barat,"2,5 - 3 JT"
,,Kota Jakarta Pusat,"2,5 - 3 JT"
,,Kota Jakarta Selatan,"2,5 - 3 JT"
,,Kota Jakarta Timur,"2,5 - 3 JT"
,,Kota Jakarta Utara,"2,5 - 3 JT"
13,Jawa Barat,Kab. Bandung,"2,5 - 3 JT"
,,Kab. Bandung Barat,"2,5 - 3 JT"
,,Kab. Bekasi,"2,5 - 3 JT"
,,Kab. Bogor,"2,5 - 3 JT"
,,Kab. Ciamis,"2,5 - 3 JT"
,,Kab. Cianjur,"2,5 - 3 JT"
,,Kab. Cirebon,"2,5 - 3 JT"
,,Kab. Garut,"2,5 - 3 JT"
,,Kab. Indramayu,"2,5 - 3 JT"
,,Kab. Karawang,"2,5 - 3 JT"
,,Kab. Kuningan,"2,5 - 3 JT"
,,Kab. Majalengka,"2,5 - 3 JT"
,,Kab. Pangandaran,"2,5 - 3 JT"
,,Kab. Purwakarta,"2,5 - 3 JT"
,,Kab. Subang,"2,5 - 3 JT"
,,Kab. Sukabumi,"2,5 - 3 JT"
,,Kab. Sumedang,"2,5 - 3 JT"
,,Kab. Tasikmalaya,"2,5 - 3 JT"
,,Kota Bandung,"2,5 - 3 JT"
,,Kota Banjar,"2,5 - 3 JT"
,,Kota Bekasi,"2,5 - 3 JT"
,,Kota Bogor,"2,5 - 3 JT"
,,Kota Cimahi,"2,5 - 3 JT"
,,Kota Cirebon,"2,5 - 3 JT"
,,Kota Depok,"2,5 - 3 JT"
,,Kota Sukabumi,"2,5 - 3 JT"
,,Kota Tasikmalaya,"2,5 - 3 JT"
14,Jawa Tengah,Kab. Banjarnegara,"1,2 JT"
,,Kab. Banyumas,"1,5 JT"
,,Kab. Batang,800 RB
,,Kab. Blora,800 RB
,,Kab. Boyolali,400 RB
,,Kab. Brebes,"1,5 JT"
,,Kab. Cilacap,"1,5 JT"
,,Kab. Demak,600 RB
,,Kab. Grobogan,600 RB
,,Kab. Jepara,800 RB
,,Kab. Karanganyar,1 JT
,,Kab. Kebumen,"1,2 JT"
,,Kab. Kendal,600 RB
,,Kab. Klaten,600 RB
,,Kab. Kudus,700 RB
,,Kab. Magelang,500 RB
,,Kab. Pati,800 RB
,,Kab. Pekalongan,1 JT
,,Kab. Pemalang,"1,2 JT"
,,Kab. Purbalingga,"1,5 JT"
,,Kab. Purworejo,"1,2 JT"
,,Kab. Rembang,1 JT
,,Kab. Semarang,FREE - 500 RB
,,Kab. Sragen,1 JT
,,Kab. Sukoharjo,800 RB
,,Kab. Tegal,"1,2 JT"
,,Kab. Temanggung,800 RB
,,Kab. Wonogiri,"1,2 JT"
,,Kab. Wonosobo,1 JT
,,Kota Pekalongan,"1,2 JT"
,,Kota Salatiga,250 RB
,,Kota Semarang,500 RB
,,Kota Surakarta,600 RB
,,Kota Tegal,"1,2 JT"
15,Yogyakarta,Kab. Bantul,800 - 1 JT
,,Kab. Gunungkidul,"800 - 1,5 JT"
,,Kab. Kulon Progo,"800 - 1,5 JT"
,,Kab. Sleman,800 - 1 JT
,,Kota Yogyakarta,800 - 1 JT
16,Jawa Timur,Kab. Bangkalan,3 JT
,,Kab. Banyuwangi,"3,5 JT"
,,Kab. Blitar,3 JT
,,Kab. Bojonegoro,2 JT
,,Kab. Bondowoso,3 JT
,,Kab. Gresik,"2,5 JT"
,,Kab. Jember,3 JT
,,Kab. Jombang,"2,5 JT"
,,Kab. Kediri,"2,5 JT"
,,Kab. Lamongan,2 JT
,,Kab. Lumajang,3 JT
,,Kab. Madiun,"1,6 JT"
,,Kab. Magetan,"1,6 JT"
,,Kab. Malang,"2,5 JT"
,,Kab. Mojokerto,2 JT
,,Kab. Nganjuk,"1,8 JT"
,,Kab. Ngawi,"1,5 JT"
,,Kab. Pacitan,"1,7 JT"
,,Kab. Pamekasan,3 JT
,,Kab. Pasuruan,"2,8 JT"
,,Kab. Ponorogo,"2,8 JT"
,,Kab. Probolinggo,"2,8 JT"
,,Kab. Sampang,3 JT
,,Kab. Sidoarjo,"2,5 JT"
,,Kab. Situbondo,3 JT
,,Kab. Sumenep,3 JT
,,Kab. Trenggalek,2 JT
,,Kab. Tuban,2 JT
,,Kab. Tulungagung,"1,8 JT"
,,Kota Batu,"2,5 JT"
,,Kota Blitar,3 JT
,,Kota Kediri,2 JT
,,Kota Madiun,2 JT
,,Kota Malang,"2,5 JT"
,,Kota Mojokerto,2 JT
,,Kota Pasuruan,"2,5 JT"
,,Kota Probolinggo,3 JT
,,Kota Surabaya,"2,5 JT"
17,Bali,Kab. Badung,"3,5 - 4 JT"
,,Kab. Bangli,"3,5 - 4 JT"
,,Kab. Buleleng,"3,5 - 4 JT"
,,Kab. Gianyar,"3,5 - 4 JT"
,,Kab. Jembrana,"3,5 - 4 JT"
,,Kab. Karangasem,"3,5 - 4 JT"
,,Kab. Klungkung,"3,5 - 4 JT"
,,Kab. Tabanan,"3,5 - 4 JT"
,,Kota Denpasar,"3,5 - 4 JT"
18,Nusa Tenggara Barat,Kab. Bima,2 - 3 JT
,,Kab. Dompu,2 - 3 JT
,,Kab. Lombok Barat,2 - 3 JT
,,Kab. Lombok Tengah,2 - 3 JT
,,Kab. Lombok Timur,2 - 3 JT
,,Kab. Lombok Utara,2 - 3 JT
,,Kab. Sumbawa,2 - 3 JT
,,Kab. Sumbawa Barat,2 - 3 JT
,,Kota Bima,2 - 3 JT
,,Kota Mataram,2 - 3 JT
19,Nusa Tenggara Timur,Kab. Alor,"5 - 5,5 JT"
,,Kab. Belu,"5 - 5,5 JT"
,,Kab. Ende,"5 - 5,5 JT"
,,Kab. Flores Timur,"5 - 5,5 JT"
,,Kab. Kupang,"5 - 5,5 JT"
,,Kab. Lembata,"5 - 5,5 JT"
,,Kab. Malaka,"5 - 5,5 JT"
,,Kab. Manggarai,"5 - 5,5 JT"
,,Kab. Manggarai Barat,"5 - 5,5 JT"
,,Kab. Manggarai Timur,"5 - 5,5 JT"
,,Kab. Nagekeo,"5 - 5,5 JT"
,,Kab. Ngada,"5 - 5,5 JT"
,,Kab. Rote Ndao,"5 - 5,5 JT"
,,Kab. Sabu Raijua,"5 - 5,5 JT"
,,Kab. Sikka,"5 - 5,5 JT"
,,Kab. Sumba Barat,"5 - 5,5 JT"
,,Kab. Sumba Barat Daya,"5 - 5,5 JT"
,,Kab. Sumba Tengah,"5 - 5,5 JT"
,,Kab. Sumba Timur,"5 - 5,5 JT"
,,Kab. Timor Tengah Selatan,"5 - 5,5 JT"
,,Kab. Timor Tengah Utara,"5 - 5,5 JT"
,,Kota Kupang,2 - 3 JT
20,Kalimantan Barat,Kab. Bengkayang,"3,8 - 4,5 JT"
